Actividad económica,cod_municipio,cod_provincia,geocode,municipio,num_casos,Periodo,provincia,Sexo
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S014,Adeje,8.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S015,Adeje,5.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S015,Adeje,7.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S016,Adeje,3.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S016,Adeje,5.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S017,Adeje,4.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S017,Adeje,10.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S018,Adeje,0.0,2021,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20210101_38001_D01_S018,Adeje,3.0,2021,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S001,Adeje,,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S001,Adeje,3.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S002,Adeje,4.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S002,Adeje,5.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S003,Adeje,6.0,2022,Santa Cruz de Tenerife,Mujeres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S003,Adeje,12.0,2022,Santa Cruz de Tenerife,Hombres
"Agricultura, ganadería y pesca",38001,38,20220101_38001_D01_S004,Adeje,14.0,2022,Santa Cruz de Tenerife,Mujeres
