Sexo,Nacionalidad,Nivel de estudios en curso,Periodo,Total,Municipio_clean,ISLA_clean
Hombres,Española,Educación primaria e inferior,2021,0,Villa De Mazo,La Palma
Hombres,Extranjera,Educación primaria e inferior,2021,0,Villa De Mazo,La Palma
Hombres,Española,Educación primaria e inferior,2021,0,El Pinar De El Hierro,El Hierro
Hombres,Extranjera,Educación primaria e inferior,2021,0,El Pinar De El Hierro,El Hierro
Hombres,Extranjera,Educación primaria e inferior,2023,0,Agaete,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2023,0,Agüimes,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2023,0,Artenara,Gran Canaria
Hombres,Española,Educación primaria e inferior,2023,0,Betancuria,Fuerteventura
Hombres,Extranjera,Educación primaria e inferior,2023,0,Betancuria,Fuerteventura
Hombres,Extranjera,Educación primaria e inferior,2023,0,Firgas,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2023,0,Haría,Lanzarote
Hombres,Extranjera,Educación primaria e inferior,2023,0,Moya,Gran Canaria
Hombres,Española,Educación primaria e inferior,2023,0,La Oliva,Fuerteventura
Hombres,Española,Educación primaria e inferior,2023,0,Teguise,Lanzarote
Hombres,Extranjera,Educación primaria e inferior,2023,0,Teguise,Lanzarote
Hombres,Extranjera,Educación primaria e inferior,2023,0,Tejeda,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2023,0,Telde,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2023,0,Teror,Gran Canaria
Hombres,Española,Educación primaria e inferior,2023,0,Tías,Lanzarote
Hombres,Extranjera,Educación primaria e inferior,2023,0,Valsequillo De Gran Canaria,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2023,0,Valleseco,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2023,0,Vega De San Mateo,Gran Canaria
Hombres,Extranjera,Educación primaria e inferior,2023,0,Agulo,La Gomera
Hombres,Española,Educación primaria e inferior,2023,0,Alajeró,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2023,0,Alajeró,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2023,0,Arafo,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,Arico,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,Barlovento,La Palma
Hombres,Extranjera,Educación primaria e inferior,2023,0,Barlovento,La Palma
Hombres,Española,Educación primaria e inferior,2023,0,Breña Baja,La Palma
Hombres,Española,Educación primaria e inferior,2023,0,Buenavista Del Norte,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,Buenavista Del Norte,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,Candelaria,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,Fasnia,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,Fasnia,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,Fuencaliente De La Palma,La Palma
Hombres,Extranjera,Educación primaria e inferior,2023,0,Garachico,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,Garafía,La Palma
Hombres,Extranjera,Educación primaria e inferior,2023,0,Garafía,La Palma
Hombres,Extranjera,Educación primaria e inferior,2023,0,La Guancha,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,Güímar,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,Hermigua,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2023,0,Hermigua,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2023,0,La Matanza De Acentejo,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,El Paso,La Palma
Hombres,Extranjera,Educación primaria e inferior,2023,0,Puerto De La Cruz,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,Puntagorda,La Palma
Hombres,Extranjera,Educación primaria e inferior,2023,0,Puntagorda,La Palma
Hombres,Española,Educación primaria e inferior,2023,0,Puntallana,La Palma
Hombres,Extranjera,Educación primaria e inferior,2023,0,El Rosario,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,San Andrés Y Sauces,La Palma
Hombres,Extranjera,Educación primaria e inferior,2023,0,San Andrés Y Sauces,La Palma
Hombres,Española,Educación primaria e inferior,2023,0,San Juan De La Rambla,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,San Juan De La Rambla,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,San Miguel De Abona,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,San Sebastián De La Gomera,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2023,0,San Sebastián De La Gomera,La Gomera
Hombres,Extranjera,Educación primaria e inferior,2023,0,Santa Úrsula,Tenerife
Hombres,Española,Educación primaria e inferior,2023,0,Los Silos,Tenerife
Hombres,Extranjera,Educación primaria e inferior,2023,0,Los Silos,Tenerife
