TERRITORIO	TIME_PERIOD	MEDIDAS	OBS_VALUE	ESTADO_OBSERVACION	CONFIDENCIALIDAD_OBSERVACION
Antigua	2017	Distribución de la renta P80/P20	3.7		
Antigua	2016	Distribución de la renta P80/P20	3.7		
Antigua	2015	Distribución de la renta P80/P20	3.5		
Betancuria	2023	Índice de Gini	28.4		
Betancuria	2022	Índice de Gini	32.9		
Betancuria	2021	Índice de Gini	30		
Betancuria	2020	Índice de Gini	31.1		
Betancuria	2019	Índice de Gini	32.6		
Betancuria	2018	Índice de Gini	28.2		
Betancuria	2017	Índice de Gini	28.5		
Betancuria	2016	Índice de Gini	32.5		
Betancuria	2015	Índice de Gini	31.8		
Betancuria	2023	Distribución de la renta P80/P20	2.5		
Betancuria	2022	Distribución de la renta P80/P20	2.4		
Betancuria	2021	Distribución de la renta P80/P20	2.6		
Betancuria	2020	Distribución de la renta P80/P20	2.6		
Betancuria	2019	Distribución de la renta P80/P20	2.4		
Betancuria	2018	Distribución de la renta P80/P20	2.6		
Betancuria	2017	Distribución de la renta P80/P20	2.5		
Betancuria	2016	Distribución de la renta P80/P20	2.7		
Betancuria	2015	Distribución de la renta P80/P20	2.6		
La Oliva	2023	Índice de Gini	34.3		
La Oliva	2022	Índice de Gini	34.9		
La Oliva	2021	Índice de Gini	36.1		
La Oliva	2020	Índice de Gini	36.1		
La Oliva	2019	Índice de Gini	35		
La Oliva	2018	Índice de Gini	35.4		
La Oliva	2017	Índice de Gini	35.6		
La Oliva	2016	Índice de Gini	38.4		
La Oliva	2015	Índice de Gini	38		
La Oliva	2023	Distribución de la renta P80/P20	2.9		
La Oliva	2022	Distribución de la renta P80/P20	3		
La Oliva	2021	Distribución de la renta P80/P20	3.2		
La Oliva	2020	Distribución de la renta P80/P20	3.4		
La Oliva	2019	Distribución de la renta P80/P20	3.1		
La Oliva	2018	Distribución de la renta P80/P20	3		
La Oliva	2017	Distribución de la renta P80/P20	3.2		
La Oliva	2016	Distribución de la renta P80/P20	3.9		
La Oliva	2015	Distribución de la renta P80/P20	3.9		
Pájara	2023	Índice de Gini	26.4		
Pájara	2022	Índice de Gini	27.7		
Pájara	2021	Índice de Gini	29.3		
Pájara	2020	Índice de Gini	29.4		
Pájara	2019	Índice de Gini	27.5		
Pájara	2018	Índice de Gini	27.5		
Pájara	2017	Índice de Gini	27.7		
Pájara	2016	Índice de Gini	28.1		
Pájara	2015	Índice de Gini	28.6		
Pájara	2023	Distribución de la renta P80/P20	2.3		
Pájara	2022	Distribución de la renta P80/P20	2.5		
Pájara	2021	Distribución de la renta P80/P20	2.6		
Pájara	2020	Distribución de la renta P80/P20	2.4		
Pájara	2019	Distribución de la renta P80/P20	2.3		
Pájara	2018	Distribución de la renta P80/P20	2.4		
Pájara	2017	Distribución de la renta P80/P20	2.4		
Pájara	2016	Distribución de la renta P80/P20	2.5		
Pájara	2015	Distribución de la renta P80/P20	2.4		
Puerto del Rosario	2023	Índice de Gini	30.3		
Puerto del Rosario	2022	Índice de Gini	31		
Puerto del Rosario	2021	Índice de Gini	32.3		
Puerto del Rosario	2020	Índice de Gini	32.6		
Puerto del Rosario	2019	Índice de Gini	31.6		
Puerto del Rosario	2018	Índice de Gini	31.3		
Puerto del Rosario	2017	Índice de Gini	31.7		
Puerto del Rosario	2016	Índice de Gini	33.4		
Puerto del Rosario	2015	Índice de Gini	34.1		
Puerto del Rosario	2023	Distribución de la renta P80/P20	2.6		
Puerto del Rosario	2022	Distribución de la renta P80/P20	2.7		
Puerto del Rosario	2021	Distribución de la renta P80/P20	2.8		
Puerto del Rosario	2020	Distribución de la renta P80/P20	2.9		
Puerto del Rosario	2019	Distribución de la renta P80/P20	2.8		
Puerto del Rosario	2018	Distribución de la renta P80/P20	2.6		
Puerto del Rosario	2017	Distribución de la renta P80/P20	2.7		
Puerto del Rosario	2016	Distribución de la renta P80/P20	2.9		
Puerto del Rosario	2015	Distribución de la renta P80/P20	2.9		
Tuineje	2023	Índice de Gini	26.7		
Tuineje	2022	Índice de Gini	27.8		
Tuineje	2021	Índice de Gini	29		
Tuineje	2020	Índice de Gini	28.2		
Tuineje	2019	Índice de Gini	26.5		
Tuineje	2018	Índice de Gini	25.8		
Tuineje	2017	Índice de Gini	26.1		
Tuineje	2016	Índice de Gini	27.5		
Tuineje	2015	Índice de Gini	28.5		
Tuineje	2023	Distribución de la renta P80/P20	2.1		
Tuineje	2022	Distribución de la renta P80/P20	2.3		
Tuineje	2021	Distribución de la renta P80/P20	2.3		
Tuineje	2020	Distribución de la renta P80/P20	2.3		
Tuineje	2019	Distribución de la renta P80/P20	2.2		
Tuineje	2018	Distribución de la renta P80/P20	2.1		
Tuineje	2017	Distribución de la renta P80/P20	2.2		
Tuineje	2016	Distribución de la renta P80/P20	2.3		
Tuineje	2015	Distribución de la renta P80/P20	2.3		
Gran Canaria	2023	Índice de Gini	31.6		
Gran Canaria	2022	Índice de Gini	32.4		
Gran Canaria	2021	Índice de Gini	32.9		
Gran Canaria	2020	Índice de Gini	33.4		
Gran Canaria	2019	Índice de Gini	33.3		
Gran Canaria	2018	Índice de Gini	33.9		
Gran Canaria	2017	Índice de Gini	34.4		
Gran Canaria	2016	Índice de Gini	35.7		
Gran Canaria	2015	Índice de Gini	36.1		
